month,loanrate
200601,5.64
200602,5.58
200603,5.46
200604,5.42
200605,5.41
200606,5.48
200607,5.79
200608,5.86
200609,5.77
200610,5.69
200611,5.69
200612,5.88
200701,6.11
200702,6.18
200703,6.2
200704,6.13
200705,6.17
200706,6.13
200707,6.24
200708,6.38
200709,6.52
200710,6.55
200711,6.59
200712,6.85
200801,7.08
200802,6.72
200803,6.7
200804,6.8
200805,6.79
200806,6.77
200807,6.92
200808,7.16
200809,7.25
200810,7.58
200811,7.42
200812,6.81
200901,5.63
200902,5.38
200903,5.43
200904,5.3
200905,5.25
200906,5.25
200907,5.29
200908,5.45
200909,5.77
200910,5.9
200911,5.87
200912,5.9
201001,5.88
201002,5.75
201003,5.47
201004,5.07
201005,4.78
201006,4.62
201007,4.7
201008,4.81
201009,4.8
201010,4.74
201011,4.65
201012,4.67
201101,4.8
201102,4.86
201103,4.89
201104,4.88
201105,4.9
201106,4.87
201107,4.9
201108,4.97
201109,5
201110,5.01
201111,5.01
201112,4.95
201201,5.06
201202,5.02
201203,5
201204,4.94
201205,4.85
201206,4.76
201207,4.64
201208,4.41
201209,4.29
201210,4.23
201211,4.19
201212,4.16
201301,4.17
201302,4.06
201303,3.97
201304,3.86
201305,3.77
201306,3.73
201307,3.77
201308,3.8
201309,3.82
201310,3.81
201311,3.77
201312,3.74
201401,3.75
201402,3.71
201403,3.69
201404,3.69
201405,3.63
201406,3.58
201407,3.53
201408,3.5
201409,3.5
201410,3.38
201411,3.3
201412,3.33
201501,3.34
201502,3.24
201503,2.97
201504,2.81
201505,3.06
201506,3.01
201507,2.96
201508,2.94
201509,2.92
201510,2.9
201511,3.04
201512,3.12
201601,3.1
201602,2.99
201603,2.97
201604,2.93
201605,2.89
201606,2.77
201607,2.66
201608,2.7
201609,2.8
201610,2.89
201611,3.04
201612,3.13
201701,3.16
201702,3.19
201703,3.21
201704,3.21
201705,3.26
201706,3.22
201707,3.28
201708,3.28
201709,3.24
201710,3.33
201711,3.39
201712,3.42
201801,3.47
201802,3.46
201803,3.45
201804,3.47
201805,3.49
201806,3.46
201807,3.44
201808,3.36
201809,3.29
201810,3.31
201811,3.28
201812,3.19
201901,3.12
201902,3.08
201903,3.04
201904,2.98
201905,2.93
201906,2.74
201907,2.64
201908,2.47
201909,2.51
201910,2.5
201911,2.45
201912,2.45
202001,2.51
202002,2.52
202003,2.48
202004,2.58
202005,2.52
202006,2.49
202007,2.45
202008,2.39
202009,2.44
202010,2.47
202011,2.56
202012,2.59
202101,2.63
202102,2.66
202103,2.73
202104,2.73
202105,2.69
202106,2.74
202107,2.81
202108,2.88
202109,3.01
202110,3.26
202111,3.51
202112,3.63
202201,3.85
202202,3.88
202203,3.84
202204,3.9
202205,3.9
202206,4.04
202207,4.16
202208,4.35
202209,4.79
202210,4.82
202211,4.74
202212,4.63
202301,4.58
202302,4.56
202303,4.4
202304,4.24
202305,4.21
202306,4.26
202307,4.28
202308,4.31
202309,4.35
202310,4.56
202311,4.48
202312,4.16
